0,1,2,3
126,DB00177,DB00624,-1
127,DB00177,DB00633,1
128,DB00177,DB00654,1
129,DB00177,DB00672,-1
130,DB00177,DB00695,1
135,DB00177,DB00731,-1
138,DB00177,DB00749,-1
139,DB00177,DB00755,-1
140,DB00177,DB00757,-1
141,DB00177,DB00758,-1
142,DB00177,DB00780,1
143,DB00177,DB00783,-1
144,DB00177,DB00784,-1
147,DB00177,DB00806,1
148,DB00177,DB00808,1
149,DB00177,DB00818,-1
150,DB00177,DB00819,1
151,DB00177,DB00820,1
152,DB00177,DB00829,-1
153,DB00177,DB00843,-1
154,DB00177,DB00850,-1
155,DB00177,DB00861,1
156,DB00177,DB00862,1
157,DB00177,DB00869,-1
158,DB00177,DB00880,1
159,DB00177,DB00883,1
160,DB00177,DB00887,1
161,DB00177,DB00921,-1
162,DB00177,DB00943,-1
163,DB00177,DB00960,1
164,DB00177,DB00966,1
165,DB00177,DB00968,1
166,DB00177,DB00969,-1
167,DB00177,DB00983,-1
168,DB00177,DB00988,-1
169,DB00177,DB00991,-1
170,DB00177,DB00999,1
171,DB00177,DB01009,-1
172,DB00177,DB01014,1
173,DB00177,DB01016,-1
174,DB00177,DB01018,1
175,DB00177,DB01020,1
176,DB00177,DB01021,1
177,DB00177,DB01024,1
178,DB00177,DB01029,1
179,DB00177,DB01036,-1
180,DB00177,DB01037,-1
183,DB00177,DB01065,-1
184,DB00177,DB01067,-1
185,DB00177,DB01095,-1
186,DB00177,DB01120,-1
187,DB00177,DB01132,-1
188,DB00177,DB01143,1
191,DB00177,DB01171,-1
192,DB00177,DB01177,-1
195,DB00177,DB01198,-1
196,DB00177,DB01203,1
197,DB00177,DB01210,1
198,DB00177,DB01221,-1
199,DB00177,DB01224,1
200,DB00177,DB01235,1
201,DB00177,DB01238,1
202,DB00177,DB01240,-1
203,DB00177,DB01244,1
204,DB00177,DB01250,1
205,DB00177,DB01274,-1
206,DB00177,DB01275,1
207,DB00177,DB01367,1
208,DB00177,DB01399,1
209,DB00177,DB01544,-1
210,DB00177,DB01589,-1
211,DB00177,DB01600,1
212,DB00177,DB01628,-1
213,DB00177,DB02665,1
216,DB00177,DB04817,1
217,DB00177,DB04861,1
220,DB00177,DB06712,1
221,DB00177,DB06802,1
222,DB00177,DB07615,1
223,DB00178,DB00177,1
224,DB00178,DB00210,1
227,DB00178,DB00244,-1
228,DB00178,DB00248,1
229,DB00178,DB00275,1
230,DB00178,DB00277,-1
231,DB00178,DB00310,1
232,DB00178,DB00313,-1
235,DB00178,DB00373,1
236,DB00178,DB00374,1
237,DB00178,DB00381,1
240,DB00178,DB00401,1
241,DB00178,DB00421,1
242,DB00178,DB00422,-1
243,DB00178,DB00436,1
244,DB00178,DB00437,1
247,DB00178,DB00465,1
248,DB00178,DB00489,1
249,DB00178,DB00492,1
250,DB00178,DB00519,1
251,DB00178,DB00521,1
252,DB00178,DB00524,1
259,DB00178,DB00590,1
260,DB00178,DB00599,1
261,DB00178,DB00604,1
262,DB00178,DB00605,1
263,DB00178,DB00612,1
264,DB00178,DB00633,1
267,DB00178,DB00695,1
268,DB00178,DB00697,1
271,DB00178,DB00727,1
272,DB00178,DB00742,1
273,DB00178,DB00744,1
274,DB00178,DB00749,1
275,DB00178,DB00780,1
276,DB00178,DB00784,1
277,DB00178,DB00795,1
280,DB00178,DB00808,1
281,DB00178,DB00819,1
282,DB00178,DB00820,1
285,DB00178,DB00869,1
286,DB00178,DB00880,1
287,DB00178,DB00883,1
288,DB00178,DB00887,1
289,DB00178,DB00960,1
292,DB00178,DB00991,1
295,DB00178,DB01009,1
296,DB00178,DB01014,1
297,DB00178,DB01018,1
302,DB00178,DB01037,1
303,DB00178,DB01048,-1
304,DB00178,DB01054,1
305,DB00178,DB01100,1
306,DB00178,DB01143,1
307,DB00178,DB01162,1
308,DB00178,DB01171,1
309,DB00178,DB01193,1
310,DB00178,DB01203,1
311,DB00178,DB01210,1
312,DB00178,DB01223,-1
313,DB00178,DB01224,1
314,DB00178,DB01235,1
315,DB00178,DB01238,1
318,DB00178,DB01250,1
319,DB00178,DB01261,1
320,DB00178,DB01275,1
323,DB00178,DB01590,1
326,DB00178,DB01628,1
327,DB00178,DB02665,1
328,DB00178,DB02925,1
329,DB00178,DB04743,1
330,DB00178,DB04817,1
331,DB00178,DB04861,1
332,DB00178,DB04876,1
333,DB00178,DB06694,1
334,DB00178,DB06712,1
335,DB00178,DB06802,1
336,DB00178,DB07615,1
337,DB00180,DB00136,-1
340,DB00180,DB00218,1
341,DB00180,DB00244,1
342,DB00180,DB00255,1
345,DB00180,DB00375,-1
348,DB00180,DB00465,1
349,DB00180,DB00524,1
350,DB00180,DB00533,1
351,DB00180,DB00545,1
352,DB00180,DB00580,1
353,DB00180,DB00605,1
354,DB00180,DB00607,-1
355,DB00180,DB00621,1
356,DB00180,DB00624,1
357,DB00180,DB00648,-1
358,DB00180,DB00674,1
359,DB00180,DB00681,1
360,DB00180,DB00695,1
361,DB00180,DB00712,1
362,DB00180,DB00732,1
363,DB00180,DB00744,1
364,DB00180,DB00745,-1
365,DB00180,DB00749,1
366,DB00180,DB00783,1
367,DB00180,DB00784,1
370,DB00180,DB00843,1
371,DB00180,DB00861,1
372,DB00180,DB00880,1
373,DB00180,DB00887,1
376,DB00180,DB00991,1
381,DB00180,DB01024,1
382,DB00180,DB01043,1
385,DB00180,DB01155,1
386,DB00180,DB01165,1
387,DB00180,DB01250,1
388,DB00180,DB01377,-1
389,DB00180,DB01399,1
390,DB00180,DB01400,1
391,DB00180,DB01600,1
392,DB00180,DB01628,1
393,DB00180,DB02703,1
394,DB00180,DB02925,1
395,DB00180,DB04743,1
396,DB00180,DB04817,1
397,DB00180,DB06710,1
398,DB00180,DB06802,1
399,DB00180,DB07615,1
400,DB00181,DB00186,1
401,DB00181,DB00230,1
402,DB00181,DB00231,1
403,DB00181,DB00241,1
406,DB00181,DB00296,1
407,DB00181,DB00297,1
408,DB00181,DB00313,1
409,DB00181,DB00323,1
410,DB00181,DB00327,1
411,DB00181,DB00341,1
412,DB00181,DB00356,1
413,DB00181,DB00363,1
414,DB00181,DB00366,1
415,DB00181,DB00371,1
416,DB00181,DB00391,1
417,DB00181,DB00395,1
418,DB00181,DB00402,1
419,DB00181,DB00408,1
420,DB00181,DB00413,1
423,DB00181,DB00427,1
424,DB00181,DB00433,1
425,DB00181,DB00434,1
426,DB00181,DB00450,1
427,DB00181,DB00454,1
428,DB00181,DB00455,1
429,DB00181,DB00470,1
432,DB00181,DB00494,1
433,DB00181,DB00497,1
434,DB00181,DB00543,1
435,DB00181,DB00555,1
436,DB00181,DB00557,1
437,DB00181,DB00575,1
440,DB00181,DB00611,1
441,DB00181,DB00623,1
442,DB00181,DB00628,1
443,DB00181,DB00633,1
444,DB00181,DB00647,1
445,DB00181,DB00652,1
446,DB00181,DB00656,1
447,DB00181,DB00660,1
448,DB00181,DB00679,1
449,DB00181,DB00690,1
450,DB00181,DB00697,1
451,DB00181,DB00708,1
454,DB00181,DB00753,1
455,DB00181,DB00802,1
456,DB00181,DB00813,1
457,DB00181,DB00818,1
458,DB00181,DB00829,1
459,DB00181,DB00831,1
460,DB00181,DB00842,1
461,DB00181,DB00844,1
462,DB00181,DB00850,1
463,DB00181,DB00906,1
466,DB00181,DB00934,1
467,DB00181,DB00949,1
468,DB00181,DB00961,1
469,DB00181,DB00962,1
470,DB00181,DB00967,1
471,DB00181,DB00980,1
472,DB00181,DB00985,1
473,DB00181,DB00996,1
474,DB00181,DB01002,1
475,DB00181,DB01018,1
476,DB00181,DB01041,1
477,DB00181,DB01065,1
478,DB00181,DB01068,1
479,DB00181,DB01069,1
482,DB00181,DB01100,1
483,DB00181,DB01106,1
484,DB00181,DB01114,1
485,DB00181,DB01173,1
486,DB00181,DB01175,1
487,DB00181,DB01176,1
488,DB00181,DB01189,1
489,DB00181,DB01192,1
490,DB00181,DB01198,1
491,DB00181,DB01202,1
494,DB00181,DB01221,1
495,DB00181,DB01224,1
496,DB00181,DB01235,1
497,DB00181,DB01236,1
498,DB00181,DB01238,1
499,DB00181,DB01239,1
500,DB00181,DB01267,1
501,DB00181,DB01440,1
502,DB00181,DB01452,1
503,DB00181,DB01544,1
504,DB00181,DB01545,1
505,DB00181,DB01551,1
508,DB00181,DB01588,1
509,DB00181,DB01589,1
510,DB00181,DB01595,1
511,DB00181,DB01623,1
512,DB00181,DB02665,1
513,DB00181,DB04844,1
514,DB00181,DB05271,1
515,DB00181,DB06288,1
516,DB00181,DB06700,1
517,DB00182,DB00191,1
518,DB00182,DB00211,1
519,DB00182,DB00213,1
520,DB00182,DB00327,1
521,DB00182,DB00338,1
522,DB00182,DB00341,-1
527,DB00182,DB00391,-1
530,DB00182,DB00433,-1
531,DB00182,DB00434,-1
532,DB00182,DB00450,-1
533,DB00182,DB00454,1
534,DB00182,DB00455,-1
535,DB00182,DB00470,1
536,DB00182,DB00497,1
537,DB00182,DB00557,-1
538,DB00182,DB00568,-1
541,DB00182,DB00611,1
542,DB00182,DB00623,-1
545,DB00182,DB00668,1
546,DB00182,DB00679,1
547,DB00182,DB00708,1
548,DB00182,DB00736,1
549,DB00182,DB00737,-1
550,DB00182,DB00751,-1
551,DB00182,DB00780,1
552,DB00182,DB00802,1
553,DB00182,DB00813,1
554,DB00182,DB00816,1
555,DB00182,DB00819,-1
556,DB00182,DB00831,-1
559,DB00182,DB00850,-1
560,DB00182,DB00852,1
561,DB00182,DB00871,1
562,DB00182,DB00920,-1
563,DB00182,DB00921,1
564,DB00182,DB00927,-1
565,DB00182,DB00935,1
566,DB00182,DB00967,-1
567,DB00182,DB00985,-1
568,DB00182,DB00988,1
569,DB00182,DB01037,1
570,DB00182,DB01069,-1
571,DB00182,DB01071,-1
572,DB00182,DB01081,1
573,DB00182,DB01100,-1
574,DB00182,DB01106,-1
575,DB00182,DB01114,-1
576,DB00182,DB01129,1
577,DB00182,DB01156,-1
580,DB00182,DB01192,1
581,DB00182,DB01193,1
582,DB00182,DB01224,-1
583,DB00182,DB01238,-1
584,DB00182,DB01239,-1
585,DB00182,DB01267,-1
586,DB00182,DB01288,1
587,DB00182,DB01364,1
590,DB00182,DB01377,-1
591,DB00182,DB01407,1
592,DB00182,DB01452,1
593,DB00182,DB01551,1
594,DB00182,DB01577,1
595,DB00182,DB01608,-1
596,DB00182,DB01620,-1
597,DB00182,DB01623,-1
598,DB00182,DB02665,1
599,DB00182,DB06148,-1
600,DB00182,DB06288,-1
601,DB00182,DB07615,-1
602,DB00182,DB08801,-1
603,DB00184,DB00158,-1
604,DB00184,DB00177,-1
605,DB00184,DB00213,-1
606,DB00184,DB00273,-1
607,DB00184,DB00300,-1
608,DB00184,DB00338,-1
609,DB00184,DB00356,-1
610,DB00184,DB00358,1
611,DB00184,DB00363,-1
612,DB00184,DB00371,-1
613,DB00184,DB00379,-1
614,DB00184,DB00446,-1
615,DB00184,DB00470,-1
616,DB00184,DB00471,-1
617,DB00184,DB00489,1
618,DB00184,DB00514,-1
619,DB00184,DB00521,1
620,DB00184,DB00526,-1
621,DB00184,DB00531,-1
622,DB00184,DB00545,1
623,DB00184,DB00549,-1
624,DB00184,DB00568,-1
625,DB00184,DB00593,-1
626,DB00184,DB00604,-1
627,DB00184,DB00612,1
628,DB00184,DB00633,-1
631,DB00184,DB00674,1
632,DB00184,DB00679,-1
633,DB00184,DB00690,-1
634,DB00184,DB00736,-1
635,DB00184,DB00745,-1
636,DB00184,DB00753,-1
637,DB00184,DB00755,-1
638,DB00184,DB00758,-1
639,DB00184,DB00822,-1
640,DB00184,DB00843,1
641,DB00184,DB00851,-1
642,DB00184,DB00918,-1
643,DB00184,DB00949,-1
644,DB00184,DB00960,1
647,DB00184,DB01006,-1
648,DB00184,DB01029,-1
649,DB00184,DB01037,-1
650,DB00184,DB01041,-1
651,DB00184,DB01043,1
652,DB00184,DB01085,-1
653,DB00184,DB01095,-1
656,DB00184,DB01156,-1
657,DB00184,DB01171,-1
658,DB00184,DB01181,-1
659,DB00184,DB01193,1
660,DB00184,DB01198,-1
661,DB00184,DB01203,1
662,DB00184,DB01210,1
663,DB00184,DB01223,-1
664,DB00184,DB01236,-1
665,DB00184,DB01273,1
666,DB00184,DB01274,-1
667,DB00184,DB01296,-1
668,DB00184,DB01400,1
669,DB00184,DB01544,-1
670,DB00184,DB01589,1
671,DB00184,DB02703,1
672,DB00184,DB05109,-1
673,DB00184,DB06712,-1
674,DB00185,DB00358,1
675,DB00185,DB00363,-1
676,DB00185,DB00373,1
677,DB00185,DB00489,1
678,DB00185,DB00521,1
679,DB00185,DB00545,1
680,DB00185,DB00607,-1
683,DB00185,DB00674,1
684,DB00185,DB00679,-1
685,DB00185,DB00745,-1
686,DB00185,DB00843,1
689,DB00185,DB01043,1
690,DB00185,DB01156,-1
691,DB00185,DB01193,1
692,DB00185,DB01203,1
695,DB00185,DB02703,1
696,DB00186,DB00181,1
697,DB00186,DB00230,1
698,DB00186,DB00231,1
701,DB00186,DB00277,-1
702,DB00186,DB00292,1
703,DB00186,DB00296,1
704,DB00186,DB00297,1
705,DB00186,DB00313,1
706,DB00186,DB00323,1
707,DB00186,DB00327,1
708,DB00186,DB00341,1
709,DB00186,DB00356,1
710,DB00186,DB00358,-1
711,DB00186,DB00363,1
712,DB00186,DB00366,1
713,DB00186,DB00371,1
714,DB00186,DB00391,1
715,DB00186,DB00395,1
716,DB00186,DB00402,1
717,DB00186,DB00408,1
720,DB00186,DB00425,1
721,DB00186,DB00427,1
722,DB00186,DB00433,1
723,DB00186,DB00434,1
724,DB00186,DB00450,1
725,DB00186,DB00454,1
730,DB00186,DB00494,1
731,DB00186,DB00497,1
732,DB00186,DB00543,1
733,DB00186,DB00555,1
734,DB00186,DB00557,1
735,DB00186,DB00575,1
736,DB00186,DB00593,1
737,DB00186,DB00599,1
738,DB00186,DB00611,1
739,DB00186,DB00623,1
740,DB00186,DB00628,1
741,DB00186,DB00633,1
742,DB00186,DB00647,1
745,DB00186,DB00656,1
746,DB00186,DB00660,1
751,DB00186,DB00737,1
752,DB00186,DB00747,1
755,DB00186,DB00813,1
756,DB00186,DB00818,1
757,DB00186,DB00829,1
758,DB00186,DB00831,1
759,DB00186,DB00842,1
760,DB00186,DB00844,1
761,DB00186,DB00850,1
762,DB00186,DB00906,1
763,DB00186,DB00909,1
764,DB00186,DB00921,1
765,DB00186,DB00934,1
766,DB00186,DB00949,1
767,DB00186,DB00961,1
768,DB00186,DB00962,1
769,DB00186,DB00967,1
770,DB00186,DB00980,1
771,DB00186,DB00985,1
772,DB00186,DB00996,1
775,DB00186,DB01032,1
776,DB00186,DB01041,1
777,DB00186,DB01065,1
778,DB00186,DB01068,1
779,DB00186,DB01069,1
780,DB00186,DB01080,1
781,DB00186,DB01081,1
782,DB00186,DB01083,-1
785,DB00186,DB01114,1
786,DB00186,DB01173,1
787,DB00186,DB01175,1
788,DB00186,DB01176,1
791,DB00186,DB01198,1
792,DB00186,DB01202,1
793,DB00186,DB01215,1
794,DB00186,DB01219,1
795,DB00186,DB01221,1
796,DB00186,DB01223,-1
797,DB00186,DB01224,1
798,DB00186,DB01235,1
801,DB00186,DB01239,1
802,DB00186,DB01267,1
803,DB00186,DB01440,1
804,DB00186,DB01452,1
805,DB00186,DB01544,1
806,DB00186,DB01545,1
807,DB00186,DB01551,1
808,DB00186,DB01558,1
811,DB00186,DB01589,1
814,DB00186,DB02665,1
815,DB00186,DB04844,1
816,DB00186,DB05271,1
817,DB00186,DB06148,-1
818,DB00186,DB06288,1
819,DB00186,DB06700,1
820,DB00190,DB06262,-1
821,DB00191,DB00182,1
824,DB00191,DB00341,-1
825,DB00191,DB00363,-1
826,DB00191,DB00366,-1
827,DB00191,DB00368,1
828,DB00191,DB00388,1
829,DB00191,DB00391,-1
830,DB00191,DB00408,-1
831,DB00191,DB00427,-1
832,DB00191,DB00433,-1
833,DB00191,DB00434,-1
834,DB00191,DB00450,-1
835,DB00191,DB00454,1
836,DB00191,DB00455,-1
837,DB00191,DB00470,1
838,DB00191,DB00497,1
839,DB00191,DB00557,-1
840,DB00191,DB00568,-1
841,DB00191,DB00593,-1
842,DB00191,DB00601,1
843,DB00191,DB00611,1
844,DB00191,DB00623,-1
845,DB00191,DB00647,1
846,DB00191,DB00652,1
847,DB00191,DB00668,1
848,DB00191,DB00679,1
853,DB00191,DB00802,1
854,DB00191,DB00813,1
855,DB00191,DB00816,1
856,DB00191,DB00819,-1
857,DB00191,DB00831,-1
858,DB00191,DB00841,1
859,DB00191,DB00844,1
860,DB00191,DB00850,-1
861,DB00191,DB00852,1
862,DB00191,DB00871,1
863,DB00191,DB00920,-1
864,DB00191,DB00921,1
865,DB00191,DB00927,-1
866,DB00191,DB00935,1
867,DB00191,DB00967,-1
868,DB00191,DB00985,-1
869,DB00191,DB00988,1
870,DB00191,DB01037,1
871,DB00191,DB01069,-1
872,DB00191,DB01071,-1
875,DB00191,DB01106,-1
876,DB00191,DB01114,-1
877,DB00191,DB01171,1
878,DB00191,DB01176,-1
879,DB00191,DB01192,1
880,DB00191,DB01193,1
883,DB00191,DB01239,-1
884,DB00191,DB01267,-1
887,DB00191,DB01366,1
892,DB00191,DB01551,1
893,DB00191,DB01577,1
894,DB00191,DB01608,-1
895,DB00191,DB01620,-1
896,DB00191,DB01623,-1
897,DB00191,DB02665,1
898,DB00191,DB06148,-1
899,DB00191,DB06288,-1
900,DB00191,DB07615,-1
901,DB00191,DB08801,-1
902,DB00197,DB00177,-1
903,DB00197,DB00213,-1
904,DB00197,DB00214,-1
905,DB00197,DB00230,1
906,DB00197,DB00273,-1
907,DB00197,DB00294,-1
908,DB00197,DB00304,-1
909,DB00197,DB00310,-1
910,DB00197,DB00338,-1
911,DB00197,DB00351,-1
912,DB00197,DB00363,-1
913,DB00197,DB00436,-1
914,DB00197,DB00446,-1
915,DB00197,DB00524,-1
916,DB00197,DB00549,-1
917,DB00197,DB00603,-1
918,DB00197,DB00627,-1
919,DB00197,DB00648,-1
920,DB00197,DB00668,-1
921,DB00197,DB00672,1
922,DB00197,DB00717,-1
923,DB00197,DB00731,1
924,DB00197,DB00736,-1
925,DB00197,DB00738,1
926,DB00197,DB00745,-1
929,DB00197,DB00808,-1
930,DB00197,DB00880,-1
933,DB00197,DB00999,-1
934,DB00197,DB01016,1
939,DB00197,DB01120,1
942,DB00197,DB01166,1
943,DB00197,DB01171,-1
944,DB00197,DB01224,-1
945,DB00197,DB01238,-1
946,DB00197,DB01251,1
947,DB00197,DB01267,-1
950,DB00197,DB01590,-1
953,DB00197,DB04574,-1
954,DB00198,DB01032,1
955,DB00202,DB00214,-1
956,DB00202,DB00327,1
957,DB00202,DB00358,1
958,DB00202,DB00445,1
959,DB00202,DB00454,1
960,DB00202,DB00479,1
961,DB00202,DB00497,1
962,DB00202,DB00512,1
963,DB00202,DB00531,1
964,DB00202,DB00545,1
965,DB00202,DB00611,1
966,DB00202,DB00647,1
967,DB00202,DB00652,1
968,DB00202,DB00674,1
971,DB00202,DB00708,1
972,DB00202,DB00780,1
973,DB00202,DB00781,1
974,DB00202,DB00798,1
975,DB00202,DB00802,1
976,DB00202,DB00813,1
977,DB00202,DB00843,1
978,DB00202,DB00844,1
979,DB00202,DB00887,-1
980,DB00202,DB00921,1
981,DB00202,DB00989,1
982,DB00202,DB01043,1
983,DB00202,DB01081,1
984,DB00202,DB01082,1
985,DB00202,DB01172,1
988,DB00202,DB01192,1
991,DB00202,DB01400,1
992,DB00202,DB01452,1
993,DB00202,DB01551,1
994,DB00202,DB02925,-1
995,DB00204,DB00214,1
996,DB00204,DB00218,1
997,DB00204,DB00251,-1
998,DB00204,DB00261,1
999,DB00204,DB00310,1
1000,DB00204,DB00331,1
1001,DB00204,DB00346,1
1002,DB00204,DB00351,1
1003,DB00204,DB00358,1
1004,DB00204,DB00362,-1
1007,DB00204,DB00381,1
1008,DB00204,DB00384,1
1009,DB00204,DB00433,1
1010,DB00204,DB00436,1
1011,DB00204,DB00450,1
1014,DB00204,DB00529,1
1015,DB00204,DB00539,1
1016,DB00204,DB00543,1
1019,DB00204,DB00557,1
1022,DB00204,DB00648,-1
1023,DB00204,DB00656,1
1024,DB00204,DB00674,1
1025,DB00204,DB00679,1
1026,DB00204,DB00681,-1
1027,DB00204,DB00695,1
1028,DB00204,DB00697,1
1029,DB00204,DB00710,1
1030,DB00204,DB00714,1
1031,DB00204,DB00738,-1
1032,DB00204,DB00745,-1
1033,DB00204,DB00753,1
1034,DB00204,DB00757,1
1037,DB00204,DB00862,1
1038,DB00204,DB00871,1
1039,DB00204,DB00880,1
1040,DB00204,DB00887,1
1041,DB00204,DB00889,1
1042,DB00204,DB00915,1
1043,DB00204,DB00927,1
1044,DB00204,DB00934,1
1045,DB00204,DB00938,1
1046,DB00204,DB00949,1
1051,DB00204,DB01021,1
1052,DB00204,DB01036,1
1053,DB00204,DB01059,1
1054,DB00204,DB01069,1
1055,DB00204,DB01099,-1
1056,DB00204,DB01100,1
1057,DB00204,DB01127,-1
1058,DB00204,DB01128,1
1059,DB00204,DB01141,-1
1060,DB00204,DB01155,1
1061,DB00204,DB01165,1
1062,DB00204,DB01166,1
1063,DB00204,DB01175,1
1064,DB00204,DB01182,1
1065,DB00204,DB01184,1
1066,DB00204,DB01188,-1
1067,DB00204,DB01189,1
1068,DB00204,DB01195,1
1069,DB00204,DB01224,1
1070,DB00204,DB01233,1
1071,DB00204,DB01236,1
1072,DB00204,DB01238,1
1073,DB00204,DB01259,1
1076,DB00204,DB01406,1
1077,DB00204,DB01623,1
1078,DB00204,DB02546,1
1079,DB00204,DB02703,1
1080,DB00204,DB02925,1
1081,DB00204,DB04844,1
1082,DB00209,DB00245,1
1083,DB00209,DB00273,1
1084,DB00209,DB00310,1
1085,DB00209,DB00327,1
1088,DB00209,DB00358,-1
1089,DB00209,DB00376,1
1090,DB00209,DB00387,1
1091,DB00209,DB00391,-1
1094,DB00209,DB00454,1
1095,DB00209,DB00470,1
1096,DB00209,DB00497,1
1097,DB00209,DB00524,1
1098,DB00209,DB00545,-1
1099,DB00209,DB00572,1
1100,DB00209,DB00611,1
1101,DB00209,DB00647,1
1102,DB00209,DB00652,1
1103,DB00209,DB00670,1
1104,DB00209,DB00674,-1
1105,DB00209,DB00679,1
1106,DB00209,DB00708,1
1107,DB00209,DB00732,1
1108,DB00209,DB00747,1
1109,DB00209,DB00761,1
1110,DB00209,DB00802,1
1111,DB00209,DB00804,1
1112,DB00209,DB00808,1
1113,DB00209,DB00809,1
1114,DB00209,DB00810,1
1115,DB00209,DB00813,1
1116,DB00209,DB00843,-1
1117,DB00209,DB00844,1
1118,DB00209,DB00880,1
1119,DB00209,DB00921,1
1120,DB00209,DB00967,1
1121,DB00209,DB00979,1
1122,DB00209,DB00986,1
1123,DB00209,DB00989,-1
1124,DB00209,DB00999,1
1125,DB00209,DB01021,1
1126,DB00209,DB01036,1
1127,DB00209,DB01043,-1
1128,DB00209,DB01062,1
1129,DB00209,DB01081,1
1130,DB00209,DB01173,1
1131,DB00209,DB01192,1
1136,DB00209,DB06148,1
1137,DB00210,DB00158,-1
1138,DB00210,DB00177,1
1139,DB00210,DB00178,1
1140,DB00210,DB00180,1
1143,DB00210,DB00244,1
1144,DB00210,DB00275,1
1145,DB00210,DB00278,1
1146,DB00210,DB00300,1
1147,DB00210,DB00310,-1
1148,DB00210,DB00324,1
1149,DB00210,DB00373,-1
1150,DB00210,DB00374,1
1151,DB00210,DB00375,-1
1152,DB00210,DB00384,-1
1155,DB00210,DB00421,-1
1156,DB00210,DB00436,-1
1157,DB00210,DB00445,-1
1158,DB00210,DB00461,1
1163,DB00210,DB00512,1
1164,DB00210,DB00519,1
1165,DB00210,DB00521,-1
1166,DB00210,DB00524,-1
1167,DB00210,DB00533,1
1168,DB00210,DB00542,1
1169,DB00210,DB00547,1
1170,DB00210,DB00580,1
1171,DB00210,DB00591,1
1172,DB00210,DB00605,1
1173,DB00210,DB00612,-1
1174,DB00210,DB00630,1
1175,DB00210,DB00684,-1
1176,DB00210,DB00687,1
1177,DB00210,DB00695,-1
1178,DB00210,DB00700,-1
1179,DB00210,DB00710,1
1180,DB00210,DB00712,1
1181,DB00210,DB00720,1
1184,DB00210,DB00770,-1
1185,DB00210,DB00784,1
1186,DB00210,DB00795,1
1187,DB00210,DB00796,1
1188,DB00210,DB00798,-1
1189,DB00210,DB00808,-1
1190,DB00210,DB00861,1
1191,DB00210,DB00880,-1
1192,DB00210,DB00884,1
1193,DB00210,DB00887,-1
1194,DB00210,DB00917,-1
1195,DB00210,DB00960,-1
1196,DB00210,DB00966,1
1197,DB00210,DB00991,1
1198,DB00210,DB00999,-1
1199,DB00210,DB01009,1
1200,DB00210,DB01013,1
1201,DB00210,DB01014,1
