d1,d2,i
DB00177,DB01171,-1
DB00177,DB01177,-1
DB00177,DB01181,-1
DB00177,DB01193,1
DB00177,DB01198,-1
DB00177,DB01203,1
DB00177,DB01210,1
DB00177,DB01221,-1
DB00177,DB01224,1
DB00177,DB01235,1
DB00177,DB01238,1
DB00177,DB01240,-1
DB00177,DB01244,1
DB00177,DB01250,1
DB00177,DB01274,-1
DB00177,DB01275,1
DB00177,DB01367,1
DB00177,DB01399,1
DB00177,DB01544,-1
DB00177,DB01589,-1
DB00177,DB01600,1
DB00177,DB01628,-1
DB00177,DB02665,1
DB00177,DB03783,-1
DB00177,DB04743,1
DB00177,DB04817,1
DB00177,DB04861,1
DB00177,DB05109,-1
DB00177,DB06694,1
DB00177,DB06712,1
DB00177,DB06802,1
DB00177,DB07615,1
DB00178,DB00177,1
DB00178,DB00210,1
DB00178,DB00214,1
DB00178,DB00230,1
DB00178,DB00244,-1
DB00178,DB00248,1
DB00178,DB00275,1
DB00178,DB00277,-1
DB00178,DB00310,1
DB00178,DB00313,-1
DB00178,DB00346,1
DB00178,DB00350,1
DB00178,DB00373,1
DB00178,DB00374,1
DB00178,DB00381,1
DB00178,DB00384,1
DB00178,DB00393,1
DB00178,DB00401,1
DB00178,DB00421,1
DB00178,DB00422,-1
DB00178,DB00436,1
DB00178,DB00437,1
DB00178,DB00454,1
DB00178,DB00461,1
DB00178,DB00465,1
DB00178,DB00489,1
DB00178,DB00492,1
DB00178,DB00519,1
DB00178,DB00521,1
DB00178,DB00524,1
DB00178,DB00528,1
DB00178,DB00531,1
DB00178,DB00533,1
DB00178,DB00542,1
DB00178,DB00575,1
DB00178,DB00580,1
DB00178,DB00590,1
DB00178,DB00599,1
DB00178,DB00604,1
DB00178,DB00605,1
DB00178,DB00612,1
DB00178,DB00633,1
DB00178,DB00651,-1
DB00178,DB00654,1
DB00178,DB00695,1
DB00178,DB00697,1
DB00178,DB00700,1
DB00178,DB00712,1
DB00178,DB00727,1
DB00178,DB00742,1
DB00178,DB00744,1
DB00178,DB00749,1
DB00178,DB00780,1
DB00178,DB00784,1
DB00178,DB00795,1
DB00178,DB00796,1
DB00178,DB00806,1
DB00178,DB00808,1
DB00178,DB00819,1
DB00178,DB00820,1
DB00178,DB00861,-1
DB00178,DB00862,1
DB00178,DB00869,1
DB00178,DB00880,1
DB00178,DB00883,1
DB00178,DB00887,1
DB00178,DB00960,1
DB00178,DB00966,1
DB00178,DB00968,1
DB00178,DB00991,1
DB00178,DB00993,1
DB00178,DB00999,1
DB00178,DB01009,1
DB00178,DB01014,1
DB00178,DB01018,1
DB00178,DB01020,1
DB00178,DB01021,1
DB00178,DB01024,1
DB00178,DB01029,1
DB00178,DB01037,1
DB00178,DB01048,-1
DB00178,DB01054,1
DB00178,DB01100,1
DB00178,DB01143,1
DB00178,DB01162,1
DB00178,DB01171,1
DB00178,DB01193,1
DB00178,DB01203,1
DB00178,DB01210,1
DB00178,DB01223,-1
DB00178,DB01224,1
DB00178,DB01235,1
DB00178,DB01238,1
DB00178,DB01240,1
DB00178,DB01244,1
DB00178,DB01250,1
DB00178,DB01261,1
DB00178,DB01275,1
DB00178,DB01367,1
DB00178,DB01399,1
DB00178,DB01590,1
DB00178,DB01592,1
DB00178,DB01600,1
DB00178,DB01628,1
DB00178,DB02665,1
DB00178,DB02925,1
DB00178,DB04743,1
DB00178,DB04817,1
DB00178,DB04861,1
DB00178,DB04876,1
DB00178,DB06694,1
DB00178,DB06712,1
DB00178,DB06802,1
DB00178,DB07615,1
DB00180,DB00136,-1
DB00180,DB00210,1
DB00180,DB00214,1
DB00180,DB00218,1
DB00180,DB00244,1
DB00180,DB00255,1
DB00180,DB00310,1
DB00180,DB00358,1
DB00180,DB00375,-1
DB00180,DB00436,1
DB00180,DB00461,1
DB00180,DB00465,1
DB00180,DB00524,1
DB00180,DB00533,1
DB00180,DB00545,1
DB00180,DB00580,1
DB00180,DB00605,1
DB00180,DB00607,-1
DB00180,DB00621,1
DB00180,DB00624,1
DB00180,DB00648,-1
DB00180,DB00674,1
DB00180,DB00681,1
DB00180,DB00695,1
DB00180,DB00712,1
DB00180,DB00732,1
DB00180,DB00744,1
DB00180,DB00745,-1
DB00180,DB00749,1
DB00180,DB00783,1
DB00180,DB00784,1
DB00180,DB00795,1
DB00180,DB00808,1
DB00180,DB00843,1
DB00180,DB00861,1
DB00180,DB00880,1
DB00180,DB00887,1
DB00180,DB00977,1
DB00180,DB00989,1
DB00180,DB00991,1
DB00180,DB00999,1
DB00180,DB01009,1
DB00180,DB01014,1
DB00180,DB01021,1
DB00180,DB01024,1
DB00180,DB01043,1
DB00180,DB01044,1
DB00180,DB01059,1
DB00180,DB01155,1
DB00180,DB01165,1
DB00180,DB01250,1
DB00180,DB01377,-1
DB00180,DB01399,1
DB00180,DB01400,1
DB00180,DB01600,1
DB00180,DB01628,1
DB00180,DB02703,1
DB00180,DB02925,1
DB00180,DB04743,1
DB00180,DB04817,1
DB00180,DB06710,1
DB00180,DB06802,1
DB00180,DB07615,1
DB00181,DB00186,1
DB00181,DB00230,1
DB00181,DB00231,1
DB00181,DB00241,1
DB00181,DB00273,1
DB00181,DB00292,1
DB00181,DB00296,1
DB00181,DB00297,1
DB00181,DB00313,1
DB00181,DB00323,1
DB00181,DB00327,1
DB00181,DB00341,1
DB00181,DB00356,1
DB00181,DB00363,1
DB00181,DB00366,1
DB00181,DB00371,1
DB00181,DB00391,1
DB00181,DB00395,1
DB00181,DB00402,1
DB00181,DB00408,1
DB00181,DB00413,1
DB00181,DB00423,1
DB00181,DB00425,1
DB00181,DB00427,1
DB00181,DB00433,1
DB00181,DB00434,1
DB00181,DB00450,1
DB00181,DB00454,1
DB00181,DB00455,1
DB00181,DB00470,1
DB00181,DB00475,1
DB00181,DB00490,1
DB00181,DB00494,1
DB00181,DB00497,1
DB00181,DB00543,1
DB00181,DB00555,1
DB00181,DB00557,1
DB00181,DB00575,1
DB00181,DB00593,1
DB00181,DB00599,1
DB00181,DB00611,1
DB00181,DB00623,1
DB00181,DB00628,1
DB00181,DB00633,1
DB00181,DB00647,1
DB00181,DB00652,1
DB00181,DB00656,1
DB00181,DB00660,1
DB00181,DB00679,1
DB00181,DB00690,1
DB00181,DB00697,1
DB00181,DB00708,1
DB00181,DB00737,1
DB00181,DB00747,1
DB00181,DB00753,1
DB00181,DB00802,1
DB00181,DB00813,1
DB00181,DB00818,1
DB00181,DB00829,1
DB00181,DB00831,1
DB00181,DB00842,1
DB00181,DB00844,1
DB00181,DB00850,1
DB00181,DB00906,1
DB00181,DB00909,1
DB00181,DB00921,1
DB00181,DB00934,1
DB00181,DB00949,1
DB00181,DB00961,1
DB00181,DB00962,1
DB00181,DB00967,1
DB00181,DB00980,1
DB00181,DB00985,1
DB00181,DB00996,1
DB00181,DB01002,1
DB00181,DB01018,1
DB00181,DB01041,1
DB00181,DB01065,1
DB00181,DB01068,1
DB00181,DB01069,1
DB00181,DB01080,1
DB00181,DB01081,1
DB00181,DB01100,1
DB00181,DB01106,1
DB00181,DB01114,1
DB00181,DB01173,1
DB00181,DB01175,1
DB00181,DB01176,1
DB00181,DB01189,1
DB00181,DB01192,1
DB00181,DB01198,1
DB00181,DB01202,1
DB00181,DB01215,1
DB00181,DB01219,1
DB00181,DB01221,1
DB00181,DB01224,1
DB00181,DB01235,1
DB00181,DB01236,1
DB00181,DB01238,1
DB00181,DB01239,1
DB00181,DB01267,1
DB00181,DB01440,1
DB00181,DB01452,1
DB00181,DB01544,1
DB00181,DB01545,1
DB00181,DB01551,1
DB00181,DB01558,1
DB00181,DB01563,1
DB00181,DB01588,1
DB00181,DB01589,1
DB00181,DB01595,1
DB00181,DB01623,1
DB00181,DB02665,1
DB00181,DB04844,1
DB00181,DB05271,1
DB00181,DB06288,1
DB00181,DB06700,1
DB00182,DB00191,1
DB00182,DB00211,1
DB00182,DB00213,1
DB00182,DB00327,1
DB00182,DB00338,1
DB00182,DB00341,-1
DB00182,DB00363,-1
DB00182,DB00366,-1
DB00182,DB00368,1
DB00182,DB00388,1
DB00182,DB00391,-1
DB00182,DB00408,-1
DB00182,DB00427,-1
DB00182,DB00433,-1
DB00182,DB00434,-1
DB00182,DB00450,-1
DB00182,DB00454,1
DB00182,DB00455,-1
DB00182,DB00470,1
DB00182,DB00497,1
DB00182,DB00557,-1
DB00182,DB00568,-1
DB00182,DB00593,-1
DB00182,DB00601,1
DB00182,DB00611,1
DB00182,DB00623,-1
DB00182,DB00647,1
DB00182,DB00652,1
DB00182,DB00668,1
DB00182,DB00679,1
DB00182,DB00708,1
DB00182,DB00736,1
DB00182,DB00737,-1
DB00182,DB00751,-1
DB00182,DB00780,1
DB00182,DB00802,1
DB00182,DB00813,1
DB00182,DB00816,1
DB00182,DB00819,-1
DB00182,DB00831,-1
DB00182,DB00841,1
DB00182,DB00844,1
DB00182,DB00850,-1
DB00182,DB00852,1
DB00182,DB00871,1
DB00182,DB00920,-1
DB00182,DB00921,1
DB00182,DB00927,-1
DB00182,DB00935,1
DB00182,DB00967,-1
DB00182,DB00985,-1
DB00182,DB00988,1
DB00182,DB01037,1
DB00182,DB01069,-1
DB00182,DB01071,-1
DB00182,DB01081,1
DB00182,DB01100,-1
DB00182,DB01106,-1
DB00182,DB01114,-1
DB00182,DB01129,1
DB00182,DB01156,-1
DB00182,DB01171,1
DB00182,DB01176,-1
DB00182,DB01192,1
DB00182,DB01193,1
DB00182,DB01224,-1
DB00182,DB01238,-1
DB00182,DB01239,-1
DB00182,DB01267,-1
DB00182,DB01288,1
DB00182,DB01364,1
DB00182,DB01366,1
DB00182,DB01367,1
DB00182,DB01377,-1
DB00182,DB01407,1
DB00182,DB01452,1
DB00182,DB01551,1
DB00182,DB01577,1
DB00182,DB01608,-1
DB00182,DB01620,-1
DB00182,DB01623,-1
DB00182,DB02665,1
DB00182,DB06148,-1
DB00182,DB06288,-1
DB00182,DB07615,-1
DB00182,DB08801,-1
DB00184,DB00158,-1
DB00184,DB00177,-1
DB00184,DB00213,-1
DB00184,DB00273,-1
DB00184,DB00300,-1
DB00184,DB00338,-1
DB00184,DB00356,-1
DB00184,DB00358,1
DB00184,DB00363,-1
DB00184,DB00371,-1
DB00184,DB00379,-1
DB00184,DB00446,-1
DB00184,DB00470,-1
DB00184,DB00471,-1
DB00184,DB00489,1
DB00184,DB00514,-1
DB00184,DB00521,1
DB00184,DB00526,-1
DB00184,DB00531,-1
DB00184,DB00545,1
DB00184,DB00549,-1
DB00184,DB00568,-1
DB00184,DB00593,-1
DB00184,DB00604,-1
DB00184,DB00612,1
DB00184,DB00633,-1
DB00184,DB00640,1
DB00184,DB00648,-1
DB00184,DB00674,1
DB00184,DB00679,-1
DB00184,DB00690,-1
DB00184,DB00736,-1
DB00184,DB00745,-1
DB00184,DB00753,-1
DB00184,DB00755,-1
DB00184,DB00758,-1
DB00184,DB00822,-1
DB00184,DB00843,1
DB00184,DB00851,-1
DB00184,DB00918,-1
DB00184,DB00949,-1
DB00184,DB00960,1
DB00184,DB00983,-1
DB00184,DB00989,1
DB00184,DB01006,-1
DB00184,DB01029,-1
DB00184,DB01037,-1
DB00184,DB01041,-1
DB00184,DB01043,1
DB00184,DB01085,-1
DB00184,DB01095,-1
DB00184,DB01129,-1
DB00184,DB01132,-1
DB00184,DB01156,-1
DB00184,DB01171,-1
DB00184,DB01181,-1
DB00184,DB01193,1
DB00184,DB01198,-1
DB00184,DB01203,1
DB00184,DB01210,1
DB00184,DB01223,-1
DB00184,DB01236,-1
DB00184,DB01273,1
DB00184,DB01274,-1
DB00184,DB01296,-1
DB00184,DB01400,1
DB00184,DB01544,-1
DB00184,DB01589,1
DB00184,DB02703,1
DB00184,DB05109,-1
DB00184,DB06712,-1
DB00185,DB00358,1
DB00185,DB00363,-1
DB00185,DB00373,1
DB00185,DB00489,1
DB00185,DB00521,1
DB00185,DB00545,1
DB00185,DB00607,-1
DB00185,DB00612,1
DB00185,DB00648,-1
DB00185,DB00674,1
DB00185,DB00679,-1
DB00185,DB00745,-1
DB00185,DB00843,1
DB00185,DB00960,1
DB00185,DB00989,1
DB00185,DB01043,1
DB00185,DB01156,-1
DB00185,DB01193,1
DB00185,DB01203,1
DB00185,DB01210,1
DB00185,DB01400,1
DB00185,DB02703,1
DB00186,DB00181,1
DB00186,DB00230,1
DB00186,DB00231,1
DB00186,DB00241,1
DB00186,DB00273,1
DB00186,DB00277,-1
DB00186,DB00292,1
DB00186,DB00296,1
DB00186,DB00297,1
DB00186,DB00313,1
DB00186,DB00323,1
DB00186,DB00327,1
DB00186,DB00341,1
DB00186,DB00356,1
DB00186,DB00358,-1
DB00186,DB00363,1
DB00186,DB00366,1
DB00186,DB00371,1
DB00186,DB00391,1
DB00186,DB00395,1
DB00186,DB00402,1
DB00186,DB00408,1
DB00186,DB00413,1
DB00186,DB00423,1
DB00186,DB00425,1
DB00186,DB00427,1
DB00186,DB00433,1
DB00186,DB00434,1
DB00186,DB00450,1
DB00186,DB00454,1
DB00186,DB00455,1
DB00186,DB00470,1
DB00186,DB00475,1
DB00186,DB00490,1
DB00186,DB00494,1
DB00186,DB00497,1
DB00186,DB00543,1
DB00186,DB00555,1
DB00186,DB00557,1
DB00186,DB00575,1
DB00186,DB00593,1
DB00186,DB00599,1
DB00186,DB00611,1
DB00186,DB00623,1
DB00186,DB00628,1
DB00186,DB00633,1
DB00186,DB00647,1
DB00186,DB00651,-1
DB00186,DB00652,1
DB00186,DB00656,1
DB00186,DB00660,1
DB00186,DB00679,1
DB00186,DB00690,1
DB00186,DB00697,1
DB00186,DB00708,1
DB00186,DB00737,1
DB00186,DB00747,1
DB00186,DB00753,1
DB00186,DB00802,1
DB00186,DB00813,1
DB00186,DB00818,1
DB00186,DB00829,1
DB00186,DB00831,1
DB00186,DB00842,1
DB00186,DB00844,1
DB00186,DB00850,1
DB00186,DB00906,1
DB00186,DB00909,1
DB00186,DB00921,1
DB00186,DB00934,1
DB00186,DB00949,1
DB00186,DB00961,1
DB00186,DB00962,1
DB00186,DB00967,1
DB00186,DB00980,1
DB00186,DB00985,1
DB00186,DB00996,1
DB00186,DB01002,1
DB00186,DB01018,1
DB00186,DB01032,1
DB00186,DB01041,1
DB00186,DB01065,1
DB00186,DB01068,1
DB00186,DB01069,1
DB00186,DB01080,1
DB00186,DB01081,1
DB00186,DB01083,-1
DB00186,DB01100,1
DB00186,DB01106,1
DB00186,DB01114,1
DB00186,DB01173,1
DB00186,DB01175,1
DB00186,DB01176,1
DB00186,DB01189,1
DB00186,DB01192,1
DB00186,DB01198,1
DB00186,DB01202,1
DB00186,DB01215,1
DB00186,DB01219,1
DB00186,DB01221,1
DB00186,DB01223,-1
DB00186,DB01224,1
DB00186,DB01235,1
DB00186,DB01236,1
DB00186,DB01238,1
DB00186,DB01239,1
DB00186,DB01267,1
DB00186,DB01440,1
DB00186,DB01452,1
DB00186,DB01544,1
DB00186,DB01545,1
DB00186,DB01551,1
DB00186,DB01558,1
DB00186,DB01563,1
DB00186,DB01588,1
DB00186,DB01589,1
DB00186,DB01595,1
DB00186,DB01623,1
DB00186,DB02665,1
DB00186,DB04844,1
DB00186,DB05271,1
DB00186,DB06148,-1
DB00186,DB06288,1
DB00186,DB06700,1
DB00190,DB06262,-1
DB00191,DB00182,1
DB00191,DB00211,1
DB00191,DB00327,1
DB00191,DB00341,-1
DB00191,DB00363,-1
DB00191,DB00366,-1
DB00191,DB00368,1
DB00191,DB00388,1
DB00191,DB00391,-1
DB00191,DB00408,-1
DB00191,DB00427,-1
DB00191,DB00433,-1
DB00191,DB00434,-1
DB00191,DB00450,-1
DB00191,DB00454,1
DB00191,DB00455,-1
DB00191,DB00470,1
DB00191,DB00497,1
DB00191,DB00557,-1
DB00191,DB00568,-1
DB00191,DB00593,-1
DB00191,DB00601,1
DB00191,DB00611,1
DB00191,DB00623,-1
DB00191,DB00647,1
DB00191,DB00652,1
DB00191,DB00668,1
DB00191,DB00679,1
DB00191,DB00708,1
DB00191,DB00737,-1
DB00191,DB00751,-1
DB00191,DB00780,1
DB00191,DB00802,1
DB00191,DB00813,1
DB00191,DB00816,1
DB00191,DB00819,-1
DB00191,DB00831,-1
DB00191,DB00841,1
DB00191,DB00844,1
DB00191,DB00850,-1
DB00191,DB00852,1
DB00191,DB00871,1
DB00191,DB00920,-1
DB00191,DB00921,1
DB00191,DB00927,-1
DB00191,DB00935,1
DB00191,DB00967,-1
DB00191,DB00985,-1
DB00191,DB00988,1
DB00191,DB01037,1
DB00191,DB01069,-1
DB00191,DB01071,-1
DB00191,DB01081,1
DB00191,DB01100,-1
DB00191,DB01106,-1
DB00191,DB01114,-1
DB00191,DB01171,1
DB00191,DB01176,-1
DB00191,DB01192,1
DB00191,DB01193,1
DB00191,DB01224,-1
DB00191,DB01238,-1
DB00191,DB01239,-1
DB00191,DB01267,-1
DB00191,DB01288,1
DB00191,DB01364,1
DB00191,DB01366,1
DB00191,DB01367,1
DB00191,DB01377,-1
DB00191,DB01407,1
DB00191,DB01452,1
DB00191,DB01551,1
DB00191,DB01577,1
DB00191,DB01608,-1
DB00191,DB01620,-1
DB00191,DB01623,-1
DB00191,DB02665,1
DB00191,DB06148,-1
DB00191,DB06288,-1
DB00191,DB07615,-1
DB00191,DB08801,-1
DB00197,DB00177,-1
DB00197,DB00213,-1
DB00197,DB00214,-1
DB00197,DB00230,1
DB00197,DB00273,-1
DB00197,DB00294,-1
DB00197,DB00304,-1
DB00197,DB00310,-1
DB00197,DB00338,-1
DB00197,DB00351,-1
DB00197,DB00363,-1
DB00197,DB00436,-1
DB00197,DB00446,-1
DB00197,DB00524,-1
DB00197,DB00549,-1
DB00197,DB00603,-1
DB00197,DB00627,-1
DB00197,DB00648,-1
DB00197,DB00668,-1
DB00197,DB00672,1
DB00197,DB00717,-1
DB00197,DB00731,1
DB00197,DB00736,-1
DB00197,DB00738,1
DB00197,DB00745,-1
DB00197,DB00758,-1
DB00197,DB00783,-1
DB00197,DB00808,-1
DB00197,DB00880,-1
DB00197,DB00887,-1
DB00197,DB00977,-1
DB00197,DB00999,-1
DB00197,DB01016,1
DB00197,DB01021,-1
DB00197,DB01029,-1
DB00197,DB01067,1
DB00197,DB01095,-1
DB00197,DB01120,1
DB00197,DB01129,-1
DB00197,DB01132,-1
DB00197,DB01166,1
DB00197,DB01171,-1
DB00197,DB01224,-1
DB00197,DB01238,-1
DB00197,DB01251,1
DB00197,DB01267,-1
DB00197,DB01380,-1
DB00197,DB01406,-1
DB00197,DB01590,-1
DB00197,DB02546,-1
DB00197,DB02703,1
DB00197,DB04574,-1
DB00198,DB01032,1
DB00202,DB00214,-1
DB00202,DB00327,1
DB00202,DB00358,1
DB00202,DB00445,1
DB00202,DB00454,1
DB00202,DB00479,1
DB00202,DB00497,1
DB00202,DB00512,1
DB00202,DB00531,1
DB00202,DB00545,1
DB00202,DB00611,1
DB00202,DB00647,1
DB00202,DB00652,1
DB00202,DB00674,1
DB00202,DB00684,1
DB00202,DB00695,-1
DB00202,DB00708,1
DB00202,DB00780,1
DB00202,DB00781,1
DB00202,DB00798,1
DB00202,DB00802,1
DB00202,DB00813,1
DB00202,DB00843,1
DB00202,DB00844,1
DB00202,DB00887,-1
DB00202,DB00921,1
DB00202,DB00989,1
DB00202,DB01043,1
DB00202,DB01081,1
DB00202,DB01082,1
DB00202,DB01172,1
DB00202,DB01177,1
DB00202,DB01190,1
DB00202,DB01192,1
DB00202,DB01377,1
DB00202,DB01396,1
DB00202,DB01400,1
DB00202,DB01452,1
DB00202,DB01551,1
DB00202,DB02925,-1
DB00204,DB00214,1
DB00204,DB00218,1
DB00204,DB00251,-1
DB00204,DB00261,1
DB00204,DB00310,1
DB00204,DB00331,1
DB00204,DB00346,1
DB00204,DB00351,1
DB00204,DB00358,1
DB00204,DB00362,-1
DB00204,DB00363,1
DB00204,DB00374,1
DB00204,DB00381,1
DB00204,DB00384,1
DB00204,DB00433,1
DB00204,DB00436,1
DB00204,DB00450,1
DB00204,DB00489,1
DB00204,DB00524,1
DB00204,DB00529,1
DB00204,DB00539,1
DB00204,DB00543,1
DB00204,DB00555,1
DB00204,DB00556,1
DB00204,DB00557,1
DB00204,DB00604,1
DB00204,DB00607,-1
DB00204,DB00648,-1
DB00204,DB00656,1
DB00204,DB00674,1
DB00204,DB00679,1
DB00204,DB00681,-1
DB00204,DB00695,1
DB00204,DB00697,1
DB00204,DB00710,1
DB00204,DB00714,1
DB00204,DB00738,-1
DB00204,DB00745,-1
DB00204,DB00753,1
DB00204,DB00757,1
DB00204,DB00808,1
DB00204,DB00818,1
DB00204,DB00862,1
DB00204,DB00871,1
DB00204,DB00880,1
DB00204,DB00887,1
DB00204,DB00889,1
DB00204,DB00915,1
DB00204,DB00927,1
DB00204,DB00934,1
DB00204,DB00938,1
DB00204,DB00949,1
DB00204,DB00983,1
DB00204,DB00999,1
DB00204,DB01001,1
DB00204,DB01007,-1
DB00204,DB01021,1
DB00204,DB01036,1
DB00204,DB01059,1
DB00204,DB01069,1
DB00204,DB01099,-1
DB00204,DB01100,1
DB00204,DB01127,-1
DB00204,DB01128,1
DB00204,DB01141,-1
DB00204,DB01155,1
DB00204,DB01165,1
DB00204,DB01166,1
DB00204,DB01175,1
DB00204,DB01182,1
DB00204,DB01184,1
DB00204,DB01188,-1
DB00204,DB01189,1
DB00204,DB01195,1
DB00204,DB01224,1
DB00204,DB01233,1
DB00204,DB01236,1
DB00204,DB01238,1
DB00204,DB01259,1
DB00204,DB01267,1
DB00204,DB01274,1
DB00204,DB01406,1
DB00204,DB01623,1
DB00204,DB02546,1
DB00204,DB02703,1
DB00204,DB02925,1
DB00204,DB04844,1
DB00209,DB00245,1
DB00209,DB00273,1
DB00209,DB00310,1
DB00209,DB00327,1
DB00209,DB00331,-1
DB00209,DB00332,1
DB00209,DB00358,-1
DB00209,DB00376,1
DB00209,DB00387,1
DB00209,DB00391,-1
DB00209,DB00424,1
DB00209,DB00436,1
DB00209,DB00454,1
DB00209,DB00470,1
DB00209,DB00497,1
DB00209,DB00524,1
DB00209,DB00545,-1
DB00209,DB00572,1
DB00209,DB00611,1
DB00209,DB00647,1
DB00209,DB00652,1
DB00209,DB00670,1
DB00209,DB00674,-1
DB00209,DB00679,1
DB00209,DB00708,1
DB00209,DB00732,1
DB00209,DB00747,1
DB00209,DB00761,1
DB00209,DB00802,1
DB00209,DB00804,1
DB00209,DB00808,1
DB00209,DB00809,1
DB00209,DB00810,1
DB00209,DB00813,1
DB00209,DB00843,-1
DB00209,DB00844,1
DB00209,DB00880,1
DB00209,DB00921,1
DB00209,DB00967,1
DB00209,DB00979,1
DB00209,DB00986,1
DB00209,DB00989,-1
DB00209,DB00999,1
DB00209,DB01021,1
DB00209,DB01036,1
DB00209,DB01043,-1
DB00209,DB01062,1
DB00209,DB01081,1
DB00209,DB01173,1
DB00209,DB01192,1
DB00209,DB01337,1
DB00209,DB01400,-1
DB00209,DB01452,1
DB00209,DB01551,1
