drug,dec,enh,status,decrease ( -1 ),increase (+1),def,absloute def,ratio of deg and enh,dose need resample,number of resmple,need more real,number of real 
DB00547,4,56,,,,52,52,14,1,2,0,0
DB00549,77,6,,,,-71,71,12.83333333,1,2,0,0
DB00591,4,56,,,,52,52,14,1,2,0,0
DB00611,12,145,,,,133,133,12.08333333,1,2,0,0
DB00621,1,23,,,,22,22,23,1,2,0,0
DB00628,9,118,,,,109,109,13.11111111,1,2,0,0
DB00652,12,145,,,,133,133,12.08333333,1,2,0,0
DB00844,12,145,,,,133,133,12.08333333,1,2,0,0
DB00967,14,167,,,,153,153,11.92857143,1,2,0,0
DB01013,4,56,,,,52,52,14,1,2,0,0
DB01018,15,182,,,,167,167,12.13333333,1,2,0,0
DB01046,25,0,,,1,-25,25,0.5,0,2,0,0
DB01047,4,56,,,,52,52,14,1,2,0,0
DB01068,9,118,,,,109,109,13.11111111,1,2,0,0
DB01114,9,109,,,,100,100,12.11111111,1,2,0,0
DB01182,8,99,,,,91,91,12.375,1,2,0,0
DB01215,9,118,,,,109,109,13.11111111,1,2,0,0
DB01221,12,142,,,,130,130,11.83333333,1,2,0,0
DB04574,22,1,,,,-21,21,22,1,2,0,0
DB06781,4,56,,,,52,52,14,1,2,0,0
DB00163,1,15,,,,14,14,15,1,1,0,0
DB00218,9,106,,,,97,97,11.77777778,1,1,0,0
DB00294,20,1,,,,-19,19,20,1,1,0,0
DB00296,10,116,,,,106,106,11.6,1,1,0,0
DB00367,17,1,,,,-16,16,17,1,1,0,0
DB00433,13,147,,,,134,134,11.30769231,1,1,0,0
DB00454,16,180,,,,164,164,11.25,1,1,0,0
DB00490,14,160,,,,146,146,11.42857143,1,1,0,0
DB00512,2,37,,1,,35,35,18.5,1,1,0,0
DB00542,9,106,,,,97,97,11.77777778,1,1,0,0
DB00603,23,2,,,,-21,21,11.5,1,1,0,0
DB00669,6,68,,,,62,62,11.33333333,1,1,0,0
DB00709,5,56,,,,51,51,11.2,1,1,0,0
DB00736,71,6,,,,-65,65,11.83333333,1,1,0,0
DB00761,1,20,,,,19,19,20,1,1,0,0
DB00882,4,53,,,,49,49,13.25,1,1,0,0
DB00935,2,25,,,,23,23,12.5,1,1,0,0
DB00958,1,11,,,,10,10,11,1,1,0,0
DB00969,12,1,,,,-11,11,12,1,1,0,0
DB01165,9,105,,,,96,96,11.66666667,1,1,0,0
DB01427,1,16,,,,15,15,16,1,1,0,0
DB01589,12,135,,,,123,123,11.25,1,1,0,0
DB06712,6,67,,,,61,61,11.16666667,1,1,0,0
DB00115,7,3,,,,-4,4,2.333333333,0,0,0,0
DB00130,1,0,,,,-1,1,0.5,0,0,0,0
DB00136,18,5,,,,-13,13,3.6,0,0,0,0
DB00153,4,1,,,,-3,3,4,0,0,0,0
DB00158,34,8,,,,-26,26,4.25,0,0,0,0
DB00162,2,1,,,,-1,1,2,0,0,0,0
DB00165,4,1,,,,-3,3,4,0,0,0,0
DB00177,67,82,,,,15,15,1.223880597,0,0,0,0
DB00178,14,106,,,,92,92,7.571428571,0,0,0,0
DB00180,8,57,,,,49,49,7.125,0,0,0,0
DB00182,44,46,,,,2,2,1.045454545,0,0,0,0
DB00184,54,20,,,,-34,34,2.7,0,0,0,0
DB00185,12,16,,,,4,4,1.333333333,0,0,0,0
DB00190,1,0,,,,-1,1,0.5,0,0,0,0
DB00191,41,40,,,,-1,1,1.025,0,0,0,0
DB00197,42,11,,,1,-31,31,3.818181818,0,0,0,0
DB00198,0,1,,,,1,1,0.5,0,0,0,0
DB00202,4,36,,,,32,32,9,0,0,0,0
DB00204,12,75,,,,63,63,6.25,0,0,0,0
DB00209,9,46,,,,37,37,5.111111111,0,0,0,0
DB00210,36,61,,,,25,25,1.694444444,0,0,0,0
DB00211,4,35,,,,31,31,8.75,0,0,0,0
DB00213,69,34,,,,-35,35,2.029411765,0,0,0,0
DB00214,55,127,,,,72,72,2.309090909,0,0,0,0
DB00216,23,81,,,,58,58,3.52173913,0,0,0,0
DB00229,0,1,,,,1,1,0.5,0,0,0,0
DB00231,19,118,,,,99,99,6.210526316,0,0,0,0
DB00234,3,32,,,,29,29,10.66666667,1,0,0,0
DB00235,3,18,,,,15,15,6,0,0,0,0
DB00242,2,4,,,,2,2,2,0,0,0,0
DB00244,50,79,,,,29,29,1.58,0,0,0,0
DB00245,17,45,,,,28,28,2.647058824,0,0,0,0
DB00248,12,61,,,,49,49,5.083333333,0,0,0,0
DB00251,5,20,,,,15,15,4,0,0,0,0
DB00255,13,75,,,,62,62,5.769230769,0,0,0,0
DB00259,1,2,,,,1,1,2,0,0,0,0
DB00262,4,4,,,,0,0,1,0,0,0,0
DB00271,0,1,,,,1,1,0.5,0,0,0,0
DB00273,42,145,,,,103,103,3.452380952,0,0,0,0
DB00274,0,1,,,,1,1,0.5,0,0,0,0
DB00277,97,17,,,,-80,80,5.705882353,0,0,0,0
DB00278,17,46,,,,29,29,2.705882353,0,0,0,0
DB00279,32,3,,,,-29,29,10.66666667,1,0,0,0
DB00284,30,23,,,,-7,7,1.304347826,0,0,0,0
DB00291,1,3,,,,2,2,3,0,0,0,0
DB00297,14,124,,,,110,110,8.857142857,0,0,0,0
DB00300,67,33,,,,-34,34,2.03030303,0,0,0,0
DB00301,9,2,,,,-7,7,4.5,0,0,0,0
DB00302,0,1,,,,1,1,0.5,0,0,0,0
DB00303,1,1,,,,0,0,1,0,0,0,0
DB00304,18,2,,,,-16,16,9,0,0,0,0
DB00309,4,5,,,,1,1,1.25,0,0,0,0
DB00310,44,143,,,,99,99,3.25,0,0,0,0
DB00313,61,112,,,,51,51,1.836065574,0,0,0,0
DB00315,8,41,,,,33,33,5.125,0,0,0,0
DB00319,8,3,,,,-5,5,2.666666667,0,0,0,0
DB00324,7,57,,,,50,50,8.142857143,0,0,0,0
DB00327,15,156,,,,141,141,10.4,1,0,0,0
DB00331,31,35,,,,4,4,1.129032258,0,0,0,0
DB00332,14,46,,,,32,32,3.285714286,0,0,0,0
DB00338,103,36,,,,-67,67,2.861111111,0,0,0,0
DB00339,6,1,,,,-5,5,6,0,0,0,0
DB00351,18,30,,,,12,12,1.666666667,0,0,0,0
DB00352,5,3,,,,-2,2,1.666666667,0,0,0,0
DB00356,12,116,,,,104,104,9.666666667,1,0,0,0
DB00358,48,75,,,,27,27,1.5625,0,0,0,0
DB00360,0,3,,,,3,3,0.5,0,0,0,0
DB00361,5,34,,,,29,29,6.8,0,0,0,0
DB00362,5,20,,,,15,15,4,0,0,0,0
DB00363,79,218,,,,139,139,2.759493671,0,0,0,0
DB00364,17,3,,,,-14,14,5.666666667,0,0,0,0
DB00368,9,41,,,,32,32,4.555555556,0,0,0,0
DB00369,1,0,,,,-1,1,0.5,0,0,0,0
DB00373,48,129,,,,81,81,2.6875,0,0,0,0
DB00375,59,0,,,,-59,59,0.5,0,0,0,0
DB00376,8,45,,,,37,37,5.625,0,0,0,0
DB00377,9,26,,,,17,17,2.888888889,0,0,0,0
DB00379,71,6,,,1,-65,65,11.83333333,1,0,0,0
DB00380,1,2,,,,1,1,2,0,0,0,0
DB00384,29,66,,,,37,37,2.275862069,0,0,0,0
DB00387,8,45,,,,37,37,5.625,0,0,0,0
DB00388,5,25,,,,20,20,5,0,0,0,0
DB00389,2,4,,,,2,2,2,0,0,0,0
DB00391,30,144,,,,114,114,4.8,0,0,0,0
DB00393,14,88,,,,74,74,6.285714286,0,0,0,0
DB00399,5,26,,,,21,21,5.2,0,0,0,0
DB00402,13,118,,,,105,105,9.076923077,1,0,0,0
DB00417,8,1,,,,-7,7,8,0,0,0,0
DB00419,30,6,,,,-24,24,5,0,0,0,0
DB00421,27,91,,,,64,64,3.37037037,0,0,0,0
DB00422,42,33,,,,-9,9,1.272727273,0,0,0,0
DB00424,9,45,,,,36,36,5,0,0,0,0
DB00425,17,128,,,,111,111,7.529411765,0,0,0,0
DB00426,3,1,,,,-2,2,3,0,0,0,0
DB00435,3,9,,,,6,6,3,0,0,0,0
DB00436,44,147,,,,103,103,3.340909091,0,0,0,0
DB00437,2,20,,,,18,18,10,1,0,0,0
DB00438,1,1,,,,0,0,1,0,0,0,0
DB00439,12,54,,,,42,42,4.5,0,0,0,0
DB00442,0,1,,,,1,1,0.5,0,0,0,0
DB00445,35,23,,,,-12,12,1.52173913,0,0,0,0
DB00446,64,4,,,2,-60,60,16,1,0,0,0
DB00451,41,5,,,,-36,36,8.2,0,0,0,0
DB00455,20,141,,,,121,121,7.05,0,0,0,0
DB00460,1,2,,,,1,1,2,0,0,0,0
DB00461,38,66,,,,28,28,1.736842105,0,0,0,0
DB00465,36,63,,,,27,27,1.75,0,0,0,0
DB00471,10,1,,,,-9,9,10,1,0,0,0
DB00479,37,20,,,,-17,17,1.85,0,0,0,0
DB00481,5,1,,,,-4,4,5,0,0,0,0
DB00485,10,1,,,,-9,9,10,1,0,0,0
DB00489,45,129,,,,84,84,2.866666667,0,0,0,0
DB00491,30,23,,,,-7,7,1.304347826,0,0,0,0
DB00492,11,106,,,,95,95,9.636363636,1,0,0,0
DB00493,0,1,,,,1,1,0.5,0,0,0,0
DB00499,13,3,,,,-10,10,4.333333333,0,0,0,0
DB00513,0,1,,,,1,1,0.5,0,0,0,0
DB00514,20,74,,,,54,54,3.7,0,0,0,0
DB00518,8,31,,,,23,23,3.875,0,0,0,0
DB00521,46,108,,,,62,62,2.347826087,0,0,0,0
DB00523,5,53,,,,48,48,10.6,1,0,0,0
DB00524,44,141,,,,97,97,3.204545455,0,0,0,0
DB00526,7,5,,,,-2,2,1.4,0,0,0,0
DB00529,11,36,,,,25,25,3.272727273,0,0,0,0
DB00530,24,53,,,,29,29,2.208333333,0,0,0,0
DB00531,22,110,,,,88,88,5,0,0,0,0
DB00533,45,54,,,,9,9,1.2,0,0,0,0
DB00535,1,0,,,,-1,1,0.5,0,0,0,0
DB00539,10,109,,,,99,99,10.9,1,0,0,0
DB00545,22,25,,,,3,3,1.136363636,0,0,0,0
DB00548,1,1,,,,0,0,1,0,0,0,0
DB00550,1,6,,,,5,5,6,0,0,0,0
DB00552,2,4,,,,2,2,2,0,0,0,0
DB00556,0,56,,,,56,56,0.5,0,0,0,0
DB00565,4,12,,,,8,8,3,0,0,0,0
DB00567,6,3,,,,-3,3,2,0,0,0,0
DB00568,20,17,,,,-3,3,1.176470588,0,0,0,0
DB00572,8,50,,,,42,42,6.25,0,0,0,0
DB00577,1,2,,,,1,1,2,0,0,0,0
DB00580,40,55,,,,15,15,1.375,0,0,0,0
DB00581,2,0,,,,-2,2,0.5,0,0,0,0
DB00590,13,100,,,,87,87,7.692307692,0,0,0,0
DB00593,14,117,,,,103,103,8.357142857,0,0,0,0
DB00604,21,77,,,,56,56,3.666666667,0,0,0,0
DB00605,37,62,,,,25,25,1.675675676,0,0,0,0
DB00607,167,15,,,1,-152,152,11.13333333,1,0,0,0
DB00612,48,111,,,,63,63,2.3125,0,0,0,0
DB00624,15,46,,,,31,31,3.066666667,0,0,0,0
DB00627,17,3,,,,-14,14,5.666666667,0,0,0,0
DB00630,5,33,,,,28,28,6.6,0,0,0,0
DB00631,1,3,,,,2,2,3,0,0,0,0
DB00640,3,1,,,,-2,2,3,0,0,0,0
DB00642,1,3,,,,2,2,3,0,0,0,0
DB00643,5,31,,,,26,26,6.2,0,0,0,0
DB00649,1,3,,,,2,2,3,0,0,0,0
DB00651,36,15,,,,-21,21,2.4,0,0,0,0
DB00656,30,147,,,,117,117,4.9,0,0,0,0
DB00658,8,0,,,,-8,8,0.5,0,0,0,0
DB00668,26,40,,,,14,14,1.538461538,0,0,0,0
DB00670,11,46,,,,35,35,4.181818182,0,0,0,0
DB00671,0,1,,,,1,1,0.5,0,0,0,0
DB00672,41,67,,,,26,26,1.634146341,0,0,0,0
DB00674,26,58,,,,32,32,2.230769231,0,0,0,0
DB00679,47,198,,,,151,151,4.212765957,0,0,0,0
DB00681,12,42,,,,30,30,3.5,0,0,0,0
DB00684,36,20,,,,-16,16,1.8,0,0,0,0
DB00687,18,46,,,,28,28,2.555555556,0,0,0,0
DB00695,38,99,,,,61,61,2.605263158,0,0,0,0
DB00698,2,4,,,,2,2,2,0,0,0,0
DB00699,3,0,,,,-3,3,0.5,0,0,0,0
DB00700,29,67,,,,38,38,2.310344828,0,0,0,0
DB00704,14,25,,,,11,11,1.785714286,0,0,0,0
DB00710,5,48,,,,43,43,9.6,1,0,0,0
DB00712,42,59,,,,17,17,1.404761905,0,0,0,0
DB00713,8,1,,,,-7,7,8,0,0,0,0
DB00714,7,32,,,,25,25,4.571428571,0,0,0,0
DB00718,1,0,,,,-1,1,0.5,0,0,0,0
DB00720,5,33,,,,28,28,6.6,0,0,0,0
DB00724,7,2,,,,-5,5,3.5,0,0,0,0
DB00731,41,34,,,,-7,7,1.205882353,0,0,0,0
DB00732,12,90,,,,78,78,7.5,0,0,0,0
DB00738,20,103,,,,83,83,5.15,0,0,0,0
DB00740,6,3,,,,-3,3,2,0,0,0,0
DB00744,46,62,,,,16,16,1.347826087,0,0,0,0
DB00746,0,1,,,,1,1,0.5,0,0,0,0
DB00749,42,64,,,,22,22,1.523809524,0,0,0,0
DB00751,19,77,,,,58,58,4.052631579,0,0,0,0
DB00755,15,6,,,1,-9,9,2.5,0,0,0,0
DB00757,10,77,,,,67,67,7.7,0,0,0,0
DB00758,77,59,,,,-18,18,1.305084746,0,0,0,0
DB00763,1,9,,,,8,8,9,0,0,0,0
DB00770,23,18,,,,-5,5,1.277777778,0,0,0,0
DB00775,6,19,,,,13,13,3.166666667,0,0,0,0
DB00776,6,9,,,,3,3,1.5,0,0,0,0
DB00778,3,1,,,,-2,2,3,0,0,0,0
DB00780,12,131,,,,119,119,10.91666667,1,0,0,0
DB00781,2,4,,,,2,2,2,0,0,0,0
DB00783,44,73,,,,29,29,1.659090909,0,0,0,0
DB00784,46,59,,,,13,13,1.282608696,0,0,0,0
DB00795,37,51,,,,14,14,1.378378378,0,0,0,0
DB00798,37,20,,,,-17,17,1.85,0,0,0,0
DB00799,5,3,,,,-2,2,1.666666667,0,0,0,0
DB00804,8,45,,,,37,37,5.625,0,0,0,0
DB00808,46,160,,,,114,114,3.47826087,0,0,0,0
DB00809,8,45,,,,37,37,5.625,0,0,0,0
DB00810,8,76,,,,68,68,9.5,1,0,0,0
DB00811,2,8,,,,6,6,4,0,0,0,0
DB00816,8,35,,,,27,27,4.375,0,0,0,0
DB00818,18,126,,,,108,108,7,0,0,0,0
DB00819,10,73,,,,63,63,7.3,0,0,0,0
DB00820,5,51,,,,46,46,10.2,1,0,0,0
DB00822,26,8,,,,-18,18,3.25,0,0,0,0
DB00829,24,141,,,,117,117,5.875,0,0,0,0
DB00833,0,1,,,,1,1,0.5,0,0,0,0
DB00841,10,35,,,,25,25,3.5,0,0,0,0
DB00843,32,38,,,,6,6,1.1875,0,0,0,0
DB00850,28,145,,,,117,117,5.178571429,0,0,0,0
DB00851,6,3,,,,-3,3,2,0,0,0,0
DB00852,5,25,,,,20,20,5,0,0,0,0
DB00853,2,4,,,,2,2,2,0,0,0,0
DB00859,2,2,,,,0,0,1,0,0,0,0
DB00861,36,67,,,,31,31,1.861111111,0,0,0,0
DB00869,9,50,,,,41,41,5.555555556,0,0,0,0
DB00871,8,57,,,,49,49,7.125,0,0,0,0
DB00879,7,2,,,,-5,5,3.5,0,0,0,0
DB00880,44,143,,,,99,99,3.25,0,0,0,0
DB00884,6,41,,,,35,35,6.833333333,0,0,0,0
DB00887,46,106,,,,60,60,2.304347826,0,0,0,0
DB00900,15,2,,,,-13,13,7.5,0,0,0,0
DB00915,16,52,,,,36,36,3.25,0,0,0,0
DB00917,28,3,,,,-25,25,9.333333333,1,0,0,0
DB00918,26,40,,,,14,14,1.538461538,0,0,0,0
DB00920,6,2,,,,-4,4,3,0,0,0,0
DB00927,17,27,,,,10,10,1.588235294,0,0,0,0
DB00928,1,3,,,,2,2,3,0,0,0,0
DB00938,12,39,,,,27,27,3.25,0,0,0,0
DB00943,12,2,,,,-10,10,6,0,0,0,0
DB00947,4,2,,,,-2,2,2,0,0,0,0
DB00952,5,41,,,,36,36,8.2,0,0,0,0
DB00953,8,41,,,,33,33,5.125,0,0,0,0
DB00960,46,108,,,,62,62,2.347826087,0,0,0,0
DB00968,7,75,,,,68,68,10.71428571,1,0,0,0
DB00973,6,55,,,,49,49,9.166666667,1,0,0,0
DB00977,27,75,,,,48,48,2.777777778,0,0,0,0
DB00979,8,45,,,,37,37,5.625,0,0,0,0
DB00980,12,118,,,,106,106,9.833333333,1,0,0,0
DB00983,24,43,,,,19,19,1.791666667,0,0,0,0
DB00986,9,47,,,,38,38,5.222222222,0,0,0,0
DB00987,5,6,,,,1,1,1.2,0,0,0,0
DB00988,16,23,,,,7,7,1.4375,0,0,0,0
DB00989,20,39,,,,19,19,1.95,0,0,0,0
DB00990,8,2,,,,-6,6,4,0,0,0,0
DB00991,42,59,,,,17,17,1.404761905,0,0,0,0
DB00993,5,8,,,,3,3,1.6,0,0,0,0
DB00998,8,41,,,,33,33,5.125,0,0,0,0
DB00999,43,141,,,,98,98,3.279069767,0,0,0,0
DB01001,9,38,,,,29,29,4.222222222,0,0,0,0
DB01005,2,6,,,,4,4,3,0,0,0,0
DB01006,5,2,,,,-3,3,2.5,0,0,0,0
DB01007,5,22,,,,17,17,4.4,0,0,0,0
DB01008,4,14,,,,10,10,3.5,0,0,0,0
DB01009,38,48,,,,10,10,1.263157895,0,0,0,0
DB01014,40,61,,,,21,21,1.525,0,0,0,0
DB01016,43,67,,,,24,24,1.558139535,0,0,0,0
DB01019,2,15,,,,13,13,7.5,0,0,0,0
DB01021,43,124,,,,81,81,2.88372093,0,0,0,0
DB01022,1,1,,,,0,0,1,0,0,0,0
DB01024,58,58,,,,0,0,1,0,0,0,0
DB01029,77,83,,,,6,6,1.077922078,0,0,0,0
DB01030,7,62,,,,55,55,8.857142857,0,0,0,0
DB01032,15,94,,,,79,79,6.266666667,0,0,0,0
DB01033,6,5,,,,-1,1,1.2,0,0,0,0
DB01036,22,69,,,,47,47,3.136363636,0,0,0,0
DB01037,30,150,,,,120,120,5,0,0,0,0
DB01039,5,9,,,,4,4,1.8,0,0,0,0
DB01041,16,124,,,,108,108,7.75,0,0,0,0
DB01042,1,4,,,,3,3,4,0,0,0,0
DB01043,23,31,,,,8,8,1.347826087,0,0,0,0
DB01044,9,50,,,,41,41,5.555555556,0,0,0,0
DB01048,8,1,,,,-7,7,8,0,0,0,0
DB01053,9,1,,,,-8,8,9,0,0,0,0
DB01059,10,72,,,,62,62,7.2,0,0,0,0
DB01060,15,2,,,,-13,13,7.5,0,0,0,0
DB01062,11,48,,,,37,37,4.363636364,0,0,0,0
DB01065,12,109,,,,97,97,9.083333333,1,0,0,0
DB01067,41,45,,,,4,4,1.097560976,0,0,0,0
DB01071,7,26,,,,19,19,3.714285714,0,0,0,0
DB01073,1,4,,,,3,3,4,0,0,0,0
DB01077,5,32,,,1,27,27,6.4,0,0,0,0
DB01079,2,1,,,,-1,1,2,0,0,0,0
DB01082,36,20,,,,-16,16,1.8,0,0,0,0
DB01083,31,4,,,,-27,27,7.75,0,0,0,0
DB01085,5,16,,,,11,11,3.2,0,0,0,0
DB01095,76,11,,,,-65,65,6.909090909,0,0,0,0
DB01099,5,23,,,,18,18,4.6,0,0,0,0
DB01105,3,1,,,,-2,2,3,0,0,0,0
DB01112,3,1,,,,-2,2,3,0,0,0,0
DB01117,1,6,,,,5,5,6,0,0,0,0
DB01120,42,45,,,,3,3,1.071428571,0,0,0,0
DB01126,3,1,,,,-2,2,3,0,0,0,0
DB01127,5,20,,,,15,15,4,0,0,0,0
DB01128,3,9,,,,6,6,3,0,0,0,0
DB01129,56,9,,,,-47,47,6.222222222,0,0,0,0
DB01132,69,29,,,,-40,40,2.379310345,0,0,0,0
DB01140,0,1,,,,1,1,0.5,0,0,0,0
DB01141,7,20,,,,13,13,2.857142857,0,0,0,0
DB01143,0,42,,,,42,42,0.5,0,0,0,0
DB01147,8,1,,,,-7,7,8,0,0,0,0
DB01155,10,104,,,,94,94,10.4,1,0,0,0
DB01156,92,25,,,,-67,67,3.68,0,0,0,0
DB01166,7,59,,,,52,52,8.428571429,0,0,0,0
DB01171,63,121,,,,58,58,1.920634921,0,0,0,0
DB01172,36,20,,,,-16,16,1.8,0,0,0,0
DB01177,42,24,,,,-18,18,1.75,0,0,0,0
DB01181,21,7,,,,-14,14,3,0,0,0,0
DB01183,11,54,,,,43,43,4.909090909,0,0,0,0
DB01184,14,108,,,,94,94,7.714285714,0,0,0,0
DB01186,10,11,,,,1,1,1.1,0,0,0,0
DB01188,5,20,,,,15,15,4,0,0,0,0
DB01190,3,5,,,,2,2,1.666666667,0,0,0,0
DB01193,39,158,,,,119,119,4.051282051,0,0,0,0
DB01194,4,5,,,,1,1,1.25,0,0,0,0
DB01196,4,32,,,,28,28,8,0,0,0,0
DB01198,15,119,,,,104,104,7.933333333,0,0,0,0
DB01203,48,143,,,,95,95,2.979166667,0,0,0,0
DB01205,8,1,,,,-7,7,8,0,0,0,0
DB01206,2,5,,,,3,3,2.5,0,0,0,0
DB01210,26,77,,,,51,51,2.961538462,0,0,0,0
DB01212,0,1,,,,1,1,0.5,0,0,0,0
DB01216,2,1,,,,-1,1,2,0,0,0,0
DB01217,4,1,,,,-3,3,4,0,0,0,0
DB01223,47,17,,,,-30,30,2.764705882,0,0,0,0
DB01224,32,230,,,,198,198,7.1875,0,0,0,0
DB01238,52,202,,,,150,150,3.884615385,0,0,0,0
DB01240,34,66,,,,32,32,1.941176471,0,0,0,0
DB01249,0,1,,,,1,1,0.5,0,0,0,0
